dsc_cidade,nota,data_ref
"Umburanas","6.29737055508669","2011-12-31"
"Alterosa","7.61208036662336","2011-12-31"
"Cristália","6.5996889121247","2011-12-31"
"Cristina","6.97740521774485","2011-12-31"
"Mirandópolis","7.3261923682244","2011-12-31"
"Brasília de Minas","7.65990632667401","2011-12-31"
"Açucena","7.85337394268866","2011-12-31"
"Papanduva","7.00809084720845","2011-12-31"
"Curvelo","10","2011-12-31"
"Datas","6.14923302133192","2011-12-31"
"Igarapé-Açu","7.11947289758724","2011-12-31"
"Desterro de Entre Rios","8.09757995136933","2011-12-31"
"Diamantina","10","2011-12-31"
"Diogo de Vasconcelos","10","2011-12-31"
"Dionísio","10","2011-12-31"
"Campina do Simão","10","2011-12-31"
"Divino","8.66416331125631","2011-12-31"
"Divino das Laranjeiras","6.08866072244344","2011-12-31"
"Divinópolis","10","2011-12-31"
"Divisa Nova","10","2011-12-31"
"Dom Bosco","9.88234152748249","2011-12-31"
"Dores do Indaiá","9.29879271680701","2011-12-31"
"Douradoquara","7.29591628551727","2011-12-31"
"Durandé","10","2011-12-31"
"Engenheiro Caldas","9.94715996855445","2011-12-31"
"Engenheiro Navarro","7.6360728456612","2011-12-31"
"Entre Folhas","7.56656333760045","2011-12-31"
"Paraúna","5.71085221800744","2011-12-31"
"Entre Rios de Minas","7.30822411850736","2011-12-31"
"Esmeraldas","6.16178780733283","2011-12-31"
"Santa Maria da Boa Vista","7.62255924545643","2011-12-31"
"Aparecida do Taboado","7.84867466874328","2011-12-31"
"Nova Canaã","4.81179906677993","2011-12-31"
"Oeiras","5.93450192564356","2011-12-31"
"Espera Feliz","6.77676451795281","2011-12-31"
"Estiva","9.20749029635735","2011-12-31"
"Estrela Dalva","6.09265644983897","2011-12-31"
"Estrela do Indaiá","7.33833610786742","2011-12-31"
"Palmeirina","10","2011-12-31"
"Estrela do Sul","6.5396145340942","2011-12-31"
"Faria Lemos","9.06070413886678","2011-12-31"
"Ilha Grande","4.94678376844143","2011-12-31"
"São Gonçalo do Rio Preto","10","2011-12-31"
"Felixlândia","10","2011-12-31"
"Ferros","7.91587135596575","2011-12-31"
"Itapiranga","10","2011-12-31"
"Foz do Jordão","10","2011-12-31"
"Sarzedo","10","2011-12-31"
"Formoso","10","2011-12-31"
"Fortaleza de Minas","10","2011-12-31"
"Fronteira","10","2011-12-31"
"Serraria","6.04031566452776","2011-12-31"
"Mangaratiba","9.806424386793","2011-12-31"
"Funilândia","10","2011-12-31"
"Galiléia","6.12172146282057","2011-12-31"
"Gouveia","6.48017518969608","2011-12-31"
"Governador Valadares","10","2011-12-31"
"Grão Mogol","6.7272723874731","2011-12-31"
"São João do Oeste","8.20573621470503","2011-12-31"
"Araças","7.6448031553865","2011-12-31"
"Sertão Santana","10","2011-12-31"
"Grupiara","8.72168416314021","2011-12-31"
"Itatiaiuçu","7.19584250123625","2011-12-31"
"Guanhães","8.06326498903088","2011-12-31"
"Guaraciama","9.2077630593596","2011-12-31"
"Guarará","6.63682540728863","2011-12-31"
"Guarda-Mor","7.44623120902853","2011-12-31"
"Guidoval","6.79817630592546","2011-12-31"
"Guiricema","7.48827661025921","2011-12-31"
"Iapu","8.24949629460573","2011-12-31"
"Ibiá","9.11212880052294","2011-12-31"
"Ibiaí","9.03507180412987","2011-12-31"
"Ibiraci","10","2011-12-31"
"Guarapari","7.13271363739107","2011-12-31"
