"dsc_cidade","populacao"
"Morro Cabeça no Tempo (PI)","4530"
"Morro do Chapéu do Piauí (PI)","6811"
"Murici dos Portelas (PI)","9209"
"Nazaré do Piauí (PI)","7322"
"Nazária (PI)","8602"
"Nossa Senhora de Nazaré (PI)","4891"
"Nossa Senhora dos Remédios (PI)","8723"
"Novo Oriente do Piauí (PI)","6556"
"Novo Santo Antônio (PI)","3003"
"Oeiras (PI)","37085"
"Olho D'Água do Piauí (PI)","2468"
"Padre Marcos (PI)","6873"
"Paes Landim (PI)","4126"
"Pajeú do Piauí (PI)","3404"
"Palmeira do Piauí (PI)","5036"
"Palmeirais (PI)","14587"
"Paquetá (PI)","3937"
"Parnaguá (PI)","10819"
"Parnaíba (PI)","153482"
"Passagem Franca do Piauí (PI)","4323"
"Patos do Piauí (PI)","6406"
"Pau D'Arco do Piauí (PI)","4065"
"Paulistana (PI)","20554"
"Pavussu (PI)","3669"
"Pedro II (PI)","38778"
"Pedro Laurentino (PI)","2544"
"Nova Santa Rita (PI)","4383"
"Picos (PI)","78431"
"Pimenteiras (PI)","12139"
"Pio IX (PI)","18459"
"Piracuruca (PI)","28874"
"Piripiri (PI)","63787"
"Porto (PI)","12608"
"Porto Alegre do Piauí (PI)","2720"
"Prata do Piauí (PI)","3150"
"Queimada Nova (PI)","9017"
"Redenção do Gurguéia (PI)","8796"
"Regeneração (PI)","17979"
"Riacho Frio (PI)","4309"
"Ribeira do Piauí (PI)","4488"
"Ribeiro Gonçalves (PI)","7376"
"Rio Grande do Piauí (PI)","6433"
"Santa Cruz do Piauí (PI)","6247"
"Santa Cruz dos Milagres (PI)","4033"
"Santa Filomena (PI)","6254"
"Santa Luz (PI)","5882"
"Santana do Piauí (PI)","4642"
"Santa Rosa do Piauí (PI)","5255"
"Santo Antônio de Lisboa (PI)","6441"
"Santo Antônio dos Milagres (PI)","2166"
"Santo Inácio do Piauí (PI)","3803"
"São Braz do Piauí (PI)","4451"
"São Félix do Piauí (PI)","2932"
"São Francisco de Assis do Piauí (PI)","5779"
"São Francisco do Piauí (PI)","6420"
"São Gonçalo do Gurguéia (PI)","3057"
"São Gonçalo do Piauí (PI)","5030"
"São João da Canabrava (PI)","4614"
"São João da Fronteira (PI)","6064"
"São João da Serra (PI)","6122"
"São João da Varjota (PI)","4848"
"São João do Arraial (PI)","8038"
"São João do Piauí (PI)","20662"
"São José do Divino (PI)","5354"
"São José do Peixe (PI)","3741"
"São José do Piauí (PI)","6700"
"São Julião (PI)","6371"
"São Lourenço do Piauí (PI)","4577"
"São Luis do Piauí (PI)","2646"
"São Miguel da Baixa Grande (PI)","2454"
"São Miguel do Fidalgo (PI)","3038"
"São Miguel do Tapuio (PI)","17639"
"São Pedro do Piauí (PI)","14324"
"São Raimundo Nonato (PI)","34877"
"Sebastião Barros (PI)","3451"
"Sebastião Leal (PI)","4303"
"Sigefredo Pacheco (PI)","10058"
"Simões (PI)","14649"
"Simplício Mendes (PI)","12746"
"Socorro do Piauí (PI)","4563"
"Sussuapara (PI)","6767"
"Tamboril do Piauí (PI)","2929"
"Tanque do Piauí (PI)","2773"
"Teresina (PI)","868075"
"União (PI)","44569"
"Uruçuí (PI)","21655"
"Valença do Piauí (PI)","20929"
"Várzea Branca (PI)","4938"
"Várzea Grande (PI)","4386"
"Vera Mendes (PI)","3080"
"Vila Nova do Piauí (PI)","2952"
"Wall Ferraz (PI)","4471"
"Abaiara (CE)","11853"
"Acarape (CE)","15036"
"Acaraú (CE)","63104"
"Acopiara (CE)","54481"
"Aiuaba (CE)","17493"
"Alcântaras (CE)","11781"
"Altaneira (CE)","7650"
"Alto Santo (CE)","17196"
"Amontada (CE)","43829"
"Antonina do Norte (CE)","7378"
"Apuiarés (CE)","14672"
"Aquiraz (CE)","80935"
"Aracati (CE)","74975"
"Aracoiaba (CE)","26535"
"Ararendá (CE)","10959"
"Araripe (CE)","21654"
"Aratuba (CE)","11802"
"Arneiroz (CE)","7844"
"Assaré (CE)","23478"
"Aurora (CE)","24610"
"Baixio (CE)","6303"
"Banabuiú (CE)","18256"
"Barbalha (CE)","61228"
"Barreira (CE)","22573"
"Barro (CE)","22758"
"Barroquinha (CE)","15044"
"Baturité (CE)","35941"
"Beberibe (CE)","53949"
"Bela Cruz (CE)","32722"
"Boa Viagem (CE)","54577"
"Brejo Santo (CE)","49842"
"Camocim (CE)","63907"
"Campos Sales (CE)","27470"
"Canindé (CE)","77244"
"Capistrano (CE)","17786"
"Caridade (CE)","22782"
"Cariré (CE)","18459"
"Caririaçu (CE)","26987"
"Cariús (CE)","18699"
"Carnaubal (CE)","17685"
"Cascavel (CE)","72232"
"Catarina (CE)","20871"
"Catunda (CE)","10376"
"Caucaia (CE)","365212"
"Cedro (CE)","25585"
"Chaval (CE)","13091"
"Choró (CE)","13565"
"Chorozinho (CE)","20274"
"Coreaú (CE)","23239"
"Crateús (CE)","75159"
"Crato (CE)","133031"
"Croatá (CE)","18133"
"Cruz (CE)","24977"
"Deputado Irapuan Pinheiro (CE)","9662"
"Ererê (CE)","7225"
"Eusébio (CE)","54337"
"Farias Brito (CE)","19389"
"Forquilha (CE)","24452"
"Fortaleza (CE)","2686612"
"Fortim (CE)","16631"
"Frecheirinha (CE)","14134"
"General Sampaio (CE)","7694"
"Graça (CE)","14407"
"Granja (CE)","54962"
"Granjeiro (CE)","4814"
"Groaíras (CE)","11144"
"Guaiúba (CE)","26290"
"Guaraciaba do Norte (CE)","40784"
"Guaramiranga (CE)","5132"
"Hidrolândia (CE)","20053"
"Horizonte (CE)","68529"
"Ibaretama (CE)","13369"
"Ibiapina (CE)","25082"
"Ibicuitinga (CE)","12629"
"Icapuí (CE)","20060"
"Icó (CE)","68162"
"Iguatu (CE)","103074"
"Independência (CE)","26187"
"Ipaporanga (CE)","11596"
"Ipaumirim (CE)","12485"
"Ipu (CE)","42058"
"Ipueiras (CE)","38114"
"Iracema (CE)","14326"
"Irauçuba (CE)","24305"
"Itaiçaba (CE)","7866"
"Itaitinga (CE)","38325"
"Itapajé (CE)","53067"
"Itapipoca (CE)","130539"
"Itapiúna (CE)","20520"
"Itarema (CE)","42215"
"Itatira (CE)","21836"
"Jaguaretama (CE)","18147"
"Jaguaribara (CE)","11492"
"Jaguaribe (CE)","34636"
"Jaguaruana (CE)","33834"
"Jardim (CE)","27181"
"Jati (CE)","8130"
"Jijoca de Jericoacoara (CE)","20087"
"Juazeiro do Norte (CE)","276264"
"Jucás (CE)","24892"
"Lavras da Mangabeira (CE)","31492"
"Limoeiro do Norte (CE)","59890"
"Madalena (CE)","19864"
"Maracanaú (CE)","229458"
"Maranguape (CE)","130346"
"Marco (CE)","27595"
"Martinópole (CE)","11321"
"Massapê (CE)","39044"
"Mauriti (CE)","48168"
"Meruoca (CE)","15185"
"Milagres (CE)","27462"
"Milhã (CE)","13142"
"Miraíma (CE)","13894"
"Missão Velha (CE)","35480"
"Mombaça (CE)","43858"
"Monsenhor Tabosa (CE)","17249"
"Morada Nova (CE)","61738"
"Moraújo (CE)","8779"
"Morrinhos (CE)","22685"
"Mucambo (CE)","14549"
"Mulungu (CE)","10941"
"Nova Olinda (CE)","15684"
"Nova Russas (CE)","32408"
"Novo Oriente (CE)","28673"
"Ocara (CE)","25833"
"Orós (CE)","21384"
"Pacajus (CE)","73188"
"Pacatuba (CE)","84554"
"Pacoti (CE)","12288"
"Pacujá (CE)","6549"
"Palhano (CE)","9422"
"Palmácia (CE)","13439"
"Paracuru (CE)","35304"
"Paraipaba (CE)","32992"
"Parambu (CE)","31455"
"Paramoti (CE)","12252"
"Pedra Branca (CE)","43309"
"Penaforte (CE)","9143"
"Pentecoste (CE)","37900"
"Pereiro (CE)","16331"
"Pindoretama (CE)","20769"
"Piquet Carneiro (CE)","17086"
"Pires Ferreira (CE)","11001"
"Poranga (CE)","12347"
"Porteiras (CE)","14958"
"Potengi (CE)","11106"
"Potiretama (CE)","6437"
"Quiterianópolis (CE)","21166"
"Quixadá (CE)","88321"
"Quixelô (CE)","16147"
"Quixeramobim (CE)","81778"
"Quixeré (CE)","22293"
"Redenção (CE)","29146"
"Reriutaba (CE)","18385"
"Russas (CE)","78882"
"Saboeiro (CE)","15788"
"Salitre (CE)","16635"
"Santana do Acaraú (CE)","32654"
"Santana do Cariri (CE)","17712"
"Santa Quitéria (CE)","43711"
"São Benedito (CE)","48131"
"São Gonçalo do Amarante (CE)","48869"
"São João do Jaguaribe (CE)","7601"
"São Luís do Curu (CE)","13044"
"Senador Pompeu (CE)","25456"
"Senador Sá (CE)","7691"
"Sobral (CE)","210711"
"Solonópole (CE)","18357"
"Tabuleiro do Norte (CE)","30807"
"Tamboril (CE)","26225"
"Tarrafas (CE)","8573"
"Tauá (CE)","59062"
"Tejuçuoca (CE)","19371"
"Tianguá (CE)","76537"
"Trairi (CE)","56291"
"Tururu (CE)","16431"
"Ubajara (CE)","35047"
"Umari (CE)","7736"
"Umirim (CE)","19903"
"Uruburetama (CE)","22040"
"Uruoca (CE)","13915"
"Varjota (CE)","18471"
"Várzea Alegre (CE)","40903"
"Viçosa do Ceará (CE)","61410"
"Acari (RN)","11121"
"Açu (RN)","58384"
"Afonso Bezerra (RN)","11029"
"Água Nova (RN)","3272"
"Alexandria (RN)","13553"
"Almino Afonso (RN)","4710"
"Alto do Rodrigues (RN)","14728"
"Angicos (RN)","11705"
"Antônio Martins (RN)","7154"
"Apodi (RN)","35874"
"Areia Branca (RN)","27967"
"Arês (RN)","14417"
"Augusto Severo (RN)","9670"
"Baía Formosa (RN)","9322"
"Baraúna (RN)","28747"
"Barcelona (RN)","3994"
"Bento Fernandes (RN)","5525"
"Bodó (RN)","2197"
"Bom Jesus (RN)","10267"
"Brejinho (RN)","12787"
"Caiçara do Norte (RN)","6561"
"Caiçara do Rio do Vento (RN)","3715"
"Caicó (RN)","68343"
"Campo Redondo (RN)","11291"
"Canguaretama (RN)","34548"
"Caraúbas (RN)","20541"
"Carnaúba dos Dantas (RN)","8239"
"Carnaubais (RN)","10867"
"Ceará-Mirim (RN)","73886"
"Cerro Corá (RN)","11181"
"Coronel Ezequiel (RN)","5504"
"Coronel João Pessoa (RN)","4915"
"Cruzeta (RN)","7983"
"Currais Novos (RN)","44905"
"Doutor Severiano (RN)","7072"
"Parnamirim (RN)","267036"
"Encanto (RN)","5668"
"Equador (RN)","6054"
"Espírito Santo (RN)","10484"
"Extremoz (RN)","28936"
"Felipe Guerra (RN)","5997"
"Fernando Pedroza (RN)","3067"
"Florânia (RN)","9786"
"Francisco Dantas (RN)","2813"
"Frutuoso Gomes (RN)","4041"
"Galinhos (RN)","2845"
"Goianinha (RN)","26669"
"Governador Dix-Sept Rosado (RN)","13076"
"Grossos (RN)","10463"
"Guamaré (RN)","15963"
"Ielmo Marinho (RN)","13901"
"Ipanguaçu (RN)","15626"
"Ipueira (RN)","2253"
"Itajá (RN)","7595"
"Itaú (RN)","5897"
"Jaçanã (RN)","9238"
"Jandaíra (RN)","6893"
"Janduís (RN)","5248"
"Januário Cicco (RN)","10275"
"Japi (RN)","4995"
"Jardim de Angicos (RN)","2606"
"Jardim de Piranhas (RN)","14942"
"Jardim do Seridó (RN)","12396"
"João Câmara (RN)","35160"
"João Dias (RN)","2654"
"José da Penha (RN)","5946"
"Jucurutu (RN)","18315"
"Jundiá (RN)","3922"
"Lagoa d'Anta (RN)","6811"
"Lagoa de Pedras (RN)","7584"
"Lagoa de Velhos (RN)","2732"
"Lagoa Nova (RN)","15749"
"Lagoa Salgada (RN)","8297"
"Lajes (RN)","11344"
"Lajes Pintadas (RN)","4763"
"Lucrécia (RN)","4025"
"Luís Gomes (RN)","10146"
"Macaíba (RN)","81821"
"Macau (RN)","32039"
"Major Sales (RN)","4062"
"Marcelino Vieira (RN)","8336"
"Martins (RN)","8758"
"Maxaranguape (RN)","12544"
"Messias Targino (RN)","4634"
"Montanhas (RN)","11208"
"Monte Alegre (RN)","22576"
"Monte das Gameleiras (RN)","2084"
"Mossoró (RN)","300618"
"Natal (RN)","890480"
"Nísia Floresta (RN)","27938"
"Nova Cruz (RN)","37450"
"Olho d'Água do Borges (RN)","4244"
"Ouro Branco (RN)","4813"
"Paraná (RN)","4276"
"Paraú (RN)","3750"
"Parazinho (RN)","5272"
"Parelhas (RN)","21545"
"Rio do Fogo (RN)","10905"
"Passa e Fica (RN)","13474"
"Passagem (RN)","3102"
"Patu (RN)","12809"
"Santa Maria (RN)","5621"
"Pau dos Ferros (RN)","30600"
"Pedra Grande (RN)","3199"
"Pedra Preta (RN)","2438"
"Pedro Avelino (RN)","6653"
"Pedro Velho (RN)","14844"
"Pendências (RN)","15272"
"Pilões (RN)","3869"
"Poço Branco (RN)","15531"
"Portalegre (RN)","7906"
"Porto do Mangue (RN)","6522"
"Serra Caiada (RN)","10522"
"Pureza (RN)","9724"
"Rafael Fernandes (RN)","5128"
"Rafael Godeiro (RN)","3208"
"Riacho da Cruz (RN)","3614"
"Riacho de Santana (RN)","4199"
"Riachuelo (RN)","8220"
"Rodolfo Fernandes (RN)","4462"
"Tibau (RN)","4140"
"Ruy Barbosa (RN)","3592"
"Santa Cruz (RN)","39988"
"Santana do Matos (RN)","11956"
"Santana do Seridó (RN)","2689"
"Santo Antônio (RN)","24280"
"São Bento do Norte (RN)","2717"
"São Bento do Trairí (RN)","4495"
"São Fernando (RN)","3595"
"São Francisco do Oeste (RN)","4255"
"São Gonçalo do Amarante (RN)","103672"
"São João do Sabugi (RN)","6207"
"São José de Mipibu (RN)","44236"
"São José do Campestre (RN)","12879"
"São José do Seridó (RN)","4665"
"São Miguel (RN)","23655"
"São Miguel do Gostoso (RN)","10362"
"São Paulo do Potengi (RN)","17720"
"São Pedro (RN)","5930"
"São Rafael (RN)","8192"
"São Tomé (RN)","11053"
"São Vicente (RN)","6450"
"Senador Elói de Souza (RN)","6127"
"Senador Georgino Avelino (RN)","4484"
"Serra de São Bento (RN)","5751"
"Serra do Mel (RN)","12083"
"Serra Negra do Norte (RN)","8092"
"Serrinha (RN)","6178"
"Serrinha dos Pintos (RN)","4816"
"Severiano Melo (RN)","2088"
"Sítio Novo (RN)","5561"
"Taboleiro Grande (RN)","2586"
"Taipu (RN)","12297"
"Tangará (RN)","15869"
"Tenente Ananias (RN)","10855"
"Tenente Laurentino Cruz (RN)","6019"
"Tibau do Sul (RN)","14440"
"Timbaúba dos Batistas (RN)","2421"
"Touros (RN)","33503"
"Triunfo Potiguar (RN)","3216"
"Umarizal (RN)","10520"
"Upanema (RN)","14800"
"Várzea (RN)","5515"
"Venha-Ver (RN)","4205"
"Vera Cruz (RN)","12637"
"Viçosa (RN)","1725"
"Vila Flor (RN)","3194"
"Água Branca (PB)","10306"
"Aguiar (PB)","5630"
"Alagoa Grande (PB)","28439"
"Alagoa Nova (PB)","20921"
"Alagoinha (PB)","14560"
"Alcantil (PB)","5509"
"Algodão de Jandaíra (PB)","2577"
"Alhandra (PB)","19727"
"São João do Rio do Peixe (PB)","18026"
"Amparo (PB)","2251"
"Aparecida (PB)","8416"
"Araçagi (PB)","16921"
"Arara (PB)","13542"
"Araruna (PB)","20463"
"Areia (PB)","22656"
"Areia de Baraúnas (PB)","2116"
"Areial (PB)","7027"
"Aroeiras (PB)","19116"
"Assunção (PB)","4029"
"Baía da Traição (PB)","9096"
"Bananeiras (PB)","21269"
"Baraúna (PB)","4964"
"Barra de Santana (PB)","8349"
"Barra de Santa Rosa (PB)","15497"
"Barra de São Miguel (PB)","6065"
"Bayeux (PB)","97203"
"Belém (PB)","17705"
"Belém do Brejo do Cruz (PB)","7349"
"Bernardino Batista (PB)","3536"
"Boa Ventura (PB)","5307"
"Boa Vista (PB)","7136"
"Bom Jesus (PB)","2575"
"Bom Sucesso (PB)","4956"
"Bonito de Santa Fé (PB)","12022"
"Boqueirão (PB)","17870"
"Igaracy (PB)","6105"
"Borborema (PB)","5287"
"Brejo do Cruz (PB)","14206"
"Brejo dos Santos (PB)","6464"
"Caaporã (PB)","21955"
"Cabaceiras (PB)","5661"
"Cabedelo (PB)","68767"
"Cachoeira dos Índios (PB)","10305"
"Cacimba de Areia (PB)","3695"
"Cacimba de Dentro (PB)","17178"
"Cacimbas (PB)","7199"
"Caiçara (PB)","7191"
"Cajazeiras (PB)","62289"
"Cajazeirinhas (PB)","3205"
"Caldas Brandão (PB)","6046"
"Camalaú (PB)","6031"
"Campina Grande (PB)","411807"
"Capim (PB)","6620"
"Caraúbas (PB)","4185"
"Carrapateira (PB)","2687"
"Casserengue (PB)","7499"
"Catingueira (PB)","4935"
"Catolé do Rocha (PB)","30684"
"Caturité (PB)","4875"
"Conceição (PB)","19007"
"Condado (PB)","6658"
"Conde (PB)","25010"
"Congo (PB)","4787"
"Coremas (PB)","15441"
"Coxixola (PB)","1935"
"Cruz do Espírito Santo (PB)","17461"
"Cubati (PB)","7832"
"Cuité (PB)","20334"
"Cuitegi (PB)","6775"
"Cuité de Mamanguape (PB)","6356"
"Curral de Cima (PB)","5218"
"Curral Velho (PB)","2512"
"Damião (PB)","5370"
"Desterro (PB)","8315"
"Vista Serrana (PB)","3824"
"Diamante (PB)","6528"
"Dona Inês (PB)","10413"
"Duas Estradas (PB)","3582"
"Emas (PB)","3539"
"Esperança (PB)","33199"
"Fagundes (PB)","11215"
"Frei Martinho (PB)","2989"
"Gado Bravo (PB)","8303"
"Guarabira (PB)","59115"
"Gurinhém (PB)","14127"
"Gurjão (PB)","3453"
"Ibiara (PB)","5903"
"Imaculada (PB)","11848"
"Ingá (PB)","18144"
"Itabaiana (PB)","24419"
"Itaporanga (PB)","24828"
"Itapororoca (PB)","18823"
"Itatuba (PB)","11016"
"Jacaraú (PB)","14450"
"Jericó (PB)","7745"
"João Pessoa (PB)","817511"
"Juarez Távora (PB)","7976"
"Juazeirinho (PB)","18298"
"Junco do Seridó (PB)","7195"
"Juripiranga (PB)","10793"
"Juru (PB)","9849"
"Lagoa (PB)","4653"
"Lagoa de Dentro (PB)","7737"
"Lagoa Seca (PB)","27617"
"Lastro (PB)","2718"
"Livramento (PB)","7265"
"Logradouro (PB)","4369"
"Lucena (PB)","13214"
"Mãe d'Água (PB)","3999"
"Malta (PB)","5752"
"Mamanguape (PB)","45136"
"Manaíra (PB)","10972"
"Marcação (PB)","8653"
"Mari (PB)","21866"
"Marizópolis (PB)","6654"
"Massaranduba (PB)","13998"
"Mataraca (PB)","8539"
"Matinhas (PB)","4515"
"Mato Grosso (PB)","2926"
"Maturéia (PB)","6630"
"Mogeiro (PB)","13261"
"Montadas (PB)","5738"
"Monte Horebe (PB)","4842"
"Monteiro (PB)","33433"
"Mulungu (PB)","9932"
"Natuba (PB)","10451"
"Nazarezinho (PB)","7286"
"Nova Floresta (PB)","10626"
"Nova Olinda (PB)","5920"
"Nova Palmeira (PB)","4959"
"Olho d'Água (PB)","6462"
"Olivedos (PB)","3961"
"Ouro Velho (PB)","3046"
"Parari (PB)","1758"
"Passagem (PB)","2436"
"Patos (PB)","108192"
"Paulista (PB)","12379"
"Pedra Branca (PB)","3802"
"Pedra Lavrada (PB)","7899"
"Pedras de Fogo (PB)","28533"
"Piancó (PB)","16111"
"Picuí (PB)","18720"
"Pilar (PB)","11977"
"Pilões (PB)","6576"
"Pilõezinhos (PB)","4955"
"Pirpirituba (PB)","10584"
"Pitimbu (PB)","19275"
"Pocinhos (PB)","18708"
"Poço Dantas (PB)","3882"
"Poço de José de Moura (PB)","4337"
"Pombal (PB)","32802"
"Prata (PB)","4238"
"Princesa Isabel (PB)","23549"
"Puxinanã (PB)","13741"
"Queimadas (PB)","44179"
"Quixaba (PB)","1983"
"Remígio (PB)","19798"
"Pedro Régis (PB)","6114"
"Riachão (PB)","3619"
"Riachão do Bacamarte (PB)","4541"
"Riachão do Poço (PB)","4540"
"Riacho de Santo Antônio (PB)","1974"
"Riacho dos Cavalos (PB)","8541"
"Rio Tinto (PB)","24218"
"Salgadinho (PB)","3931"
"Salgado de São Félix (PB)","12131"
"Santa Cecília (PB)","6541"
"Santa Cruz (PB)","6581"
"Santa Helena (PB)","5871"
"Santa Inês (PB)","3593"
"Santa Luzia (PB)","15426"
"Santana de Mangueira (PB)","5129"
"Santana dos Garrotes (PB)","6986"
"Joca Claudino (PB)","2639"
"Santa Rita (PB)","137349"
"Santa Teresinha (PB)","4562"
"Santo André (PB)","2509"
"São Bento (PB)","34344"
"São Bentinho (PB)","4566"
"São Domingos do Cariri (PB)","2630"
"São Domingos (PB)","3097"
"São Francisco (PB)","3384"
"São João do Cariri (PB)","4184"
"São João do Tigre (PB)","4415"
"São José da Lagoa Tapada (PB)","7626"
"São José de Caiana (PB)","6376"
"São José de Espinharas (PB)","4656"
"São José dos Ramos (PB)","5998"
"São José de Piranhas (PB)","20329"
"São José de Princesa (PB)","3950"
"São José do Bonfim (PB)","3588"
"São José do Brejo do Cruz (PB)","1811"
"São José do Sabugi (PB)","4147"
"São José dos Cordeiros (PB)","3618"
"São Mamede (PB)","7702"
"São Miguel de Taipu (PB)","7410"
"São Sebastião de Lagoa de Roça (PB)","11728"
"São Sebastião do Umbuzeiro (PB)","3512"
"Sapé (PB)","52804"
"São Vicente do Seridó (PB)","10848"
"Serra Branca (PB)","13754"
"Serra da Raiz (PB)","3131"
"Serra Grande (PB)","2916"
"Serra Redonda (PB)","7021"
"Serraria (PB)","6068"
"Sertãozinho (PB)","5089"
"Sobrado (PB)","7815"
"Solânea (PB)","26227"
"Soledade (PB)","15102"
"Sossêgo (PB)","3594"
"Sousa (PB)","69723"
"Sumé (PB)","17031"
"Tacima (PB)","10969"
"Taperoá (PB)","15441"
"Tavares (PB)","14759"
"Teixeira (PB)","15248"
"Tenório (PB)","3081"
"Triunfo (PB)","9464"
"Uiraúna (PB)","15300"
"Umbuzeiro (PB)","9911"
"Várzea (PB)","2841"
"Vieirópolis (PB)","5372"
"Zabelê (PB)","2255"
"Abreu e Lima (PE)","100346"
"Afogados da Ingazeira (PE)","37404"
"Afrânio (PE)","19810"
"Agrestina (PE)","25065"
"Água Preta (PE)","37082"
"Águas Belas (PE)","43686"
"Alagoinha (PE)","14718"
"Aliança (PE)","38397"
"Altinho (PE)","22984"
"Amaraji (PE)","22870"
"Angelim (PE)","11226"
"Araçoiaba (PE)","20733"
"Araripina (PE)","84864"
"Arcoverde (PE)","74822"
"Barra de Guabiraba (PE)","14510"
"Barreiros (PE)","42764"
"Belém de Maria (PE)","12122"
"Belém do São Francisco (PE)","20730"
"Belo Jardim (PE)","76687"
"Betânia (PE)","12765"
"Bezerros (PE)","60880"
"Bodocó (PE)","38378"
"Bom Conselho (PE)","48767"
"Bom Jardim (PE)","39983"
"Bonito (PE)","38117"
"Brejão (PE)","8987"
"Brejinho (PE)","7488"
"Brejo da Madre de Deus (PE)","51225"
"Buenos Aires (PE)","13190"
"Buíque (PE)","58919"
"Cabo de Santo Agostinho (PE)","208944"
"Cabrobó (PE)","34503"
"Cachoeirinha (PE)","20501"
"Caetés (PE)","28904"
"Calçado (PE)","11018"
"Calumbi (PE)","5747"
"Camaragibe (PE)","158899"
"Camocim de São Félix (PE)","18900"
"Camutanga (PE)","8572"
"Canhotinho (PE)","24773"
"Capoeiras (PE)","20048"
"Carnaíba (PE)","19609"
"Carnaubeira da Penha (PE)","13025"
"Carpina (PE)","84395"
"Caruaru (PE)","365278"
"Casinhas (PE)","14368"
"Catende (PE)","43340"
"Cedro (PE)","11891"
"Chã de Alegria (PE)","13556"
"Chã Grande (PE)","21815"
"Condado (PE)","26590"
"Correntes (PE)","18268"
"Cortês (PE)","12560"
"Cumaru (PE)","10192"
"Cupira (PE)","24173"
"Custódia (PE)","37375"
"Dormentes (PE)","19079"
"Escada (PE)","69292"
"Exu (PE)","31766"
"Feira Nova (PE)","22247"
"Fernando de Noronha (PE)","3101"
"Ferreiros (PE)","12170"
"Flores (PE)","22618"
"Floresta (PE)","33184"
"Frei Miguelinho (PE)","15546"
"Gameleira (PE)","31318"
"Garanhuns (PE)","140577"
"Glória do Goitá (PE)","30751"
"Goiana (PE)","80055"
"Granito (PE)","7537"
"Gravatá (PE)","84699"
"Iati (PE)","19241"
"Ibimirim (PE)","29412"
"Ibirajuba (PE)","7768"
"Igarassu (PE)","118370"
"Iguaracy (PE)","12247"
"Inajá (PE)","23645"
"Ingazeira (PE)","4543"
"Ipojuca (PE)","97669"
"Ipubi (PE)","31187"
"Itacuruba (PE)","4966"
"Itaíba (PE)","26308"
"Ilha de Itamaracá (PE)","26672"
"Itambé (PE)","36471"
"Itapetim (PE)","13553"
"Itapissuma (PE)","26900"
"Itaquitinga (PE)","17006"
"Jaboatão dos Guararapes (PE)","706867"
"Jaqueira (PE)","11644"
"Jataúba (PE)","17228"
"Jatobá (PE)","14850"
"João Alfredo (PE)","33328"
"Joaquim Nabuco (PE)","16011"
"Jucati (PE)","11485"
"Jupi (PE)","14922"
"Jurema (PE)","15431"
"Lagoa do Carro (PE)","18252"
"Lagoa de Itaenga (PE)","21460"
"Lagoa do Ouro (PE)","13224"
"Lagoa dos Gatos (PE)","16318"
"Lagoa Grande (PE)","25849"
"Lajedo (PE)","40589"
"Limoeiro (PE)","56198"
"Macaparana (PE)","25472"
"Machados (PE)","16321"
"Manari (PE)","21776"
"Maraial (PE)","11220"
"Mirandiba (PE)","15470"
"Moreno (PE)","63294"
"Nazaré da Mata (PE)","32573"
"Olinda (PE)","393115"
"Orobó (PE)","23935"
"Orocó (PE)","15152"
"Ouricuri (PE)","69969"
"Palmares (PE)","63500"
"Palmeirina (PE)","7600"
"Panelas (PE)","26456"
"Paranatama (PE)","11566"
"Parnamirim (PE)","22106"
"Passira (PE)","28894"
"Paudalho (PE)","56933"
"Paulista (PE)","334376"
"Pedra (PE)","22668"
"Pesqueira (PE)","67735"
"Petrolândia (PE)","36901"
"Petrolina (PE)","354317"
"Poção (PE)","11305"
"Pombos (PE)","27148"
"Primavera (PE)","15101"
"Quipapá (PE)","26175"
"Quixaba (PE)","6805"
"Recife (PE)","1653461"
"Riacho das Almas (PE)","20646"
"Ribeirão (PE)","47616"
"Rio Formoso (PE)","23628"
"Sairé (PE)","9764"
"Salgadinho (PE)","11068"
"Salgueiro (PE)","61249"
"Saloá (PE)","15862"
"Sanharó (PE)","26890"
"Santa Cruz (PE)","15558"
"Santa Cruz da Baixa Verde (PE)","12650"
"Santa Cruz do Capibaribe (PE)","109897"
"Santa Filomena (PE)","14562"
"Santa Maria da Boa Vista (PE)","42100"
"Santa Maria do Cambucá (PE)","14223"
"Santa Terezinha (PE)","11865"
"São Benedito do Sul (PE)","16069"
"São Bento do Una (PE)","60042"
"São Caitano (PE)","37368"
"São João (PE)","22899"
"São Joaquim do Monte (PE)","21398"
"São José da Coroa Grande (PE)","21586"
"São José do Belmonte (PE)","34021"
"São José do Egito (PE)","34056"
"São Lourenço da Mata (PE)","114079"
"São Vicente Férrer (PE)","18085"
"Serra Talhada (PE)","86915"
"Serrita (PE)","19196"
"Sertânia (PE)","36050"
"Sirinhaém (PE)","46361"
"Moreilândia (PE)","11270"
"Solidão (PE)","6021"
"Surubim (PE)","65647"
"Tabira (PE)","28704"
"Tacaimbó (PE)","12859"
"Tacaratu (PE)","26106"
"Tamandaré (PE)","23623"
"Taquaritinga do Norte (PE)","29127"
"Terezinha (PE)","7198"
"Terra Nova (PE)","10206"
"Timbaúba (PE)","52802"
"Toritama (PE)","46164"
"Tracunhaém (PE)","13813"
"Trindade (PE)","30816"
"Triunfo (PE)","15243"
"Tupanatinga (PE)","27551"
"Tuparetama (PE)","8256"
"Venturosa (PE)","18661"
"Verdejante (PE)","9553"
"Vertente do Lério (PE)","7571"
"Vertentes (PE)","20954"
"Vicência (PE)","32772"
"Vitória de Santo Antão (PE)","139583"
"Xexéu (PE)","14757"
